row_id,column,value,prior_error_type,prior_source,is_error,error_type,confidence,suggested_fix,llm_reason
50,sched_arr_time,,MV,stage1,True,MV,0.95,,缺失值，且无法从上下文推断
50,src,helloflight,DIST,stage2,False,NONE,0.99,,该值存在于正常样例中，为合法来源代码，分布模型误报
51,act_dep_time,,MV,stage1,True,MV,1.0,,实际起飞时间为空，确为缺失值
51,act_arr_time,,MV,stage1,True,MV,1.0,,实际到达时间为空，确为缺失值
51,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight' 出现在同列正常样例中，且与整行上下文无矛盾，应为合法值，前序标记为误报
52,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空，且该列正常应为时间，结合同行act_dep_time=6:54 a.m.，缺失是明确错误
52,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空，且该列正常应为时间，结合同行act_arr_time=9:14 a.m.，缺失是明确错误
52,src,helloflight,DIST,stage2,False,NONE,0.99,,当前值'helloflight'本身就出现在正常样例中，是合法来源代码，前序标记为误报
53,sched_dep_time,,MV,stage1,True,MV,1.0,,空值，符合缺失值定义
53,sched_arr_time,,MV,stage1,True,MV,1.0,,空值，符合缺失值定义
53,src,helloflight,DIST,stage2,False,NONE,0.99,,该值出现在正常样例中，为有效值
54,sched_dep_time,,MV,stage1,True,MV,0.95,,该值缺失（NaN），且该列正常样例均为非空时间格式，推断为错误缺失。
54,sched_arr_time,,MV,stage1,True,MV,0.95,,该值缺失（NaN），且该列正常样例均为非空时间格式，推断为错误缺失。
54,src,helloflight,DIST,stage2,False,NONE,0.95,,该值'helloflight'出现在正常样例中，符合列规范，无跨列冲突，标记为分布异常属误报。
55,sched_dep_time,,MV,stage1,True,MV,0.95,,该值为空，而列应为时间格式，确认为缺失值。
55,sched_arr_time,,MV,stage1,True,MV,0.95,,该值为空，而列应为时间格式，确认为缺失值。
55,src,helloflight,DIST,stage2,False,NONE,0.9,,该值'helloflight'出现在正常样例中，属于合法来源代码，前序分布检测为误报。
56,sched_dep_time,,MV,stage1,True,MV,0.95,,计划起飞时间为空，明显缺失。
56,sched_arr_time,,MV,stage1,True,MV,0.95,,计划到达时间为空，明显缺失。
56,src,helloflight,DIST,stage2,False,NONE,0.99,,值'helloflight'存在于正常样例中，无错误。
57,act_dep_time,,MV,stage1,True,MV,0.95,,实际起飞时间为空，属于缺失值
57,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为空，属于缺失值
57,src,helloflight,DIST,stage2,False,NONE,0.95,,该值出现在正常样本中，不是错误
58,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空，不符合时间列规范，且无其他信息可推断。
58,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空，不符合时间列规范。
58,src,helloflight,DIST,stage2,False,NONE,0.9,,helloflight出现在正常样例中，不是错误。
59,sched_dep_time,,MV,stage1,True,MV,1.0,,"Value is NaN, indicating missing data."
59,sched_arr_time,,MV,stage1,True,MV,1.0,,"Value is NaN, indicating missing data."
59,src,helloflight,DIST,stage2,False,NONE,1.0,,"Value appears in normal samples, so it's a valid source code."
60,sched_dep_time,,MV,stage1,True,MV,0.95,,缺失值，计划起飞时间为空，无法从上下文推断。
60,sched_arr_time,,MV,stage1,True,MV,0.95,,缺失值，计划到达时间为空，无法从上下文推断。
60,src,helloflight,DIST,stage2,False,NONE,0.95,,'helloflight'出现在正常样本中，是合法的源标识，分布模型误报。
61,sched_dep_time,,MV,stage1,True,MV,1.0,,该值为空，且正常样例均为具体时间，明显缺失。
61,sched_arr_time,,MV,stage1,True,MV,1.0,,该值为空，且正常样例均为具体时间，明显缺失。
61,src,helloflight,DIST,stage2,False,NONE,1.0,,当前值'helloflight'出现在正常样例列表中，为合法来源代码，误报。
62,act_dep_time,,MV,stage1,True,MV,0.95,,实际值为NaN，确实是缺失值
62,act_arr_time,,MV,stage1,True,MV,0.95,,实际值为NaN，确实是缺失值
62,src,helloflight,DIST,stage2,False,NONE,0.9,,该值在正常样例中出现，是合法的来源代码
63,sched_dep_time,,MV,stage1,True,MV,1.0,,值为NaN，确认为缺失值
63,sched_arr_time,,MV,stage1,True,MV,1.0,,值为NaN，确认为缺失值
63,src,helloflight,DIST,stage2,False,NONE,1.0,,值'helloflight'在正常样例中出现，非错误
64,act_dep_time,,MV,stage1,True,MV,1.0,,实际出发时间缺失，值为空，且无法从上下文推断
64,act_arr_time,,MV,stage1,True,MV,1.0,,实际到达时间缺失，值为空，且无法从上下文推断
64,src,helloflight,DIST,stage2,False,NONE,0.95,,该值出现在正常样例中，属于合法数据来源标识，并非错误
65,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间缺失，该字段应为时间字符串
65,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间缺失，该字段应为时间字符串
65,src,helloflight,DIST,stage2,False,NONE,0.9,,helloflight 在正常样例中出现，并非异常值
66,sched_dep_time,,MV,stage1,True,MV,1.0,,值为空，与正常时间格式不符，确为缺失值
66,sched_arr_time,,MV,stage1,True,MV,1.0,,值为空，与正常时间格式不符，确为缺失值
66,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight'出现于该列正常样例列表中，非异常值，前序标记为误报
67,sched_dep_time,,MV,stage1,True,MV,0.95,,值为NaN/空，且无同列或其他信息可推断，确为缺失
67,sched_arr_time,,MV,stage1,True,MV,0.95,,值为NaN/空，确为缺失，无法推测
67,src,helloflight,DIST,stage2,False,NONE,0.99,,'helloflight'出现在正常样例列表中，属于该列合法取值，前序标记为误报
68,sched_dep_time,,MV,stage1,True,MV,1.0,,该值缺失（NaN），对应计划出发时间未知
68,sched_arr_time,,MV,stage1,True,MV,1.0,,该值缺失（NaN），对应计划到达时间未知
68,src,helloflight,DIST,stage2,False,NONE,1.0,,正常样例中包含'helloflight'，该值属于合法来源，前序标记为误报
69,sched_dep_time,,MV,stage1,True,MV,0.5,,LLM 未返回该格判定，沿用前序结果（兜底）。
69,sched_arr_time,,MV,stage1,True,MV,0.5,,LLM 未返回该格判定，沿用前序结果（兜底）。
69,src,helloflight,DIST,stage2,True,OTHER,0.5,,LLM 未返回该格判定，沿用前序结果（兜底）。
70,sched_dep_time,,MV,stage1,True,MV,0.95,,该值为空，符合缺失值定义，且无法从同行其他列推断
70,sched_arr_time,,MV,stage1,True,MV,0.95,,该值为空，符合缺失值定义，且无法从同行其他列推断
70,src,helloflight,DIST,stage2,False,NONE,0.99,,'helloflight'出现在正常样例中，属于合法来源
71,act_dep_time,,MV,stage1,True,MV,0.99,,实际起飞时间为空值，完全缺失，无法推断具体时间。
71,act_arr_time,,MV,stage1,True,MV,0.99,,实际到达时间为空值，完全缺失，无法推断具体时间。
71,src,helloflight,DIST,stage2,False,NONE,0.95,,'helloflight'是此列的合法值，已在同列正常样例中出现，前序标记为误报。
72,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间为空，在数据中表现为NaN/空字符串，符合缺失值定义。
72,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为空，为典型缺失值。
72,src,helloflight,DIST,stage2,False,NONE,0.9,,'helloflight'在正常样例列表中，与该行其他列无冲突，前序标记为误报。
73,sched_dep_time,,MV,stage1,True,MV,0.95,,实际值为NaN/空，不符合正常时间格式
73,sched_arr_time,,MV,stage1,True,MV,0.95,,实际值为NaN/空，不符合正常时间格式
73,src,helloflight,DIST,stage2,False,NONE,0.98,,正常样例中包含'helloflight'，该值完全合理，误报
74,sched_dep_time,,MV,stage1,True,MV,0.95,,该值为空，缺失计划起飞时间，且无法从上下文可靠推断。
74,sched_arr_time,,MV,stage1,True,MV,0.95,,该值为空，缺失计划到达时间，且无法从上下文可靠推断。
74,src,helloflight,DIST,stage2,False,NONE,0.9,,值 'helloflight' 出现在正常样例中，为合法数据源，标记为误报。
75,act_dep_time,,MV,stage1,True,MV,1.0,,该值为空串，前序正确识别为缺失值
75,act_arr_time,,MV,stage1,True,MV,1.0,,该值为空串，前序正确识别为缺失值
75,src,helloflight,DIST,stage2,False,NONE,1.0,,该值出现在正常样例中，属于合法来源代码，前序标记为误报
76,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空/NaN，缺少计划起飞时间。
76,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空/NaN，缺少计划到达时间。
76,src,helloflight,DIST,stage2,False,NONE,0.9,,正常样例中包含该值，且与整行其他列无冲突，前序分布模型标记为误报。
77,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空，正常应为类似 '7:10 a.m.' 的时间格式
77,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空，正常应为类似 '2:35 p.m.' 的时间格式
77,src,helloflight,DIST,stage2,False,NONE,0.9,,'helloflight' 出现在正常样例中，为合法来源代码
78,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间为NaN，属于明显缺失值，无法从上下文推断。
78,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为NaN，属于明显缺失值。
78,src,helloflight,DIST,stage2,False,NONE,0.9,,'helloflight'出现在同列正常样例中，为合法来源代码，分布标记为误报。
79,act_dep_time,,MV,stage1,True,MV,0.95,,实际起飞时间缺失（NaN），与计划时间无冲突，为典型缺失值。
79,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间缺失（NaN），与计划时间无冲突，为典型缺失值。
79,src,helloflight,DIST,stage2,False,NONE,0.9,,'helloflight'出现在正常样例中，属于有效来源编码，前序分布检测为误报。
80,sched_dep_time,,MV,stage1,True,MV,0.9,,缺失值，无法推断
80,sched_arr_time,,MV,stage1,True,MV,0.9,,缺失值，无法推断
80,src,helloflight,DIST,stage2,False,NONE,0.9,,helloflight出现在正常样例中，非异常
81,sched_dep_time,,MV,stage1,True,MV,1.0,,当前值为空/NaN，符合缺失值定义
81,sched_arr_time,,MV,stage1,True,MV,1.0,,当前值为空/NaN，符合缺失值定义
81,src,helloflight,DIST,stage2,False,NONE,1.0,,该值存在于同列正常样例中，属于合法来源码
82,sched_dep_time,,MV,stage1,True,MV,1.0,,空值，缺失出发时间，且无法从上下文推断
82,sched_arr_time,,MV,stage1,True,MV,1.0,,空值，缺失到达时间，且无法从上下文推断
82,src,helloflight,DIST,stage2,False,NONE,1.0,,helloflight出现在正常样例中，为合法来源代码，前序标记为误报
83,sched_dep_time,,MV,stage1,True,MV,1.0,,数值缺失（空/NaN），无法从上下文推断
83,sched_arr_time,,MV,stage1,True,MV,1.0,,数值缺失（空/NaN），无法从上下文推断
83,src,helloflight,DIST,stage2,False,NONE,1.0,,该值出现在正常样例中，为合法值
84,sched_dep_time,,MV,stage1,True,MV,1.0,,Missing value (NaN) for scheduled departure time.
84,sched_arr_time,,MV,stage1,True,MV,1.0,,Missing value (NaN) for scheduled arrival time.
84,src,helloflight,DIST,stage2,False,NONE,0.9,,"'helloflight' appears in normal samples, thus it is a valid value and not an error."
85,sched_dep_time,,MV,stage1,True,MV,1.0,,sched_dep_time为空，缺失值
85,sched_arr_time,,MV,stage1,True,MV,1.0,,sched_arr_time为空，缺失值
85,src,helloflight,DIST,stage2,False,NONE,0.9,,值在正常样例中出现，不是错误
86,sched_dep_time,,MV,stage1,True,MV,0.99,,缺失值
86,sched_arr_time,,MV,stage1,True,MV,0.99,,缺失值
86,src,helloflight,DIST,stage2,False,NONE,0.98,,正常样本中包含该值，非错误
87,act_dep_time,,MV,stage1,True,MV,0.99,,实际起飞时间缺失，值为NaN。
87,act_arr_time,,MV,stage1,True,MV,0.99,,实际到达时间缺失，值为NaN。
87,src,helloflight,DIST,stage2,False,NONE,0.99,,'helloflight' 出现在该列的正常样例中，不是错误。
88,act_dep_time,,MV,stage1,True,MV,0.95,,值为空，且无其他上下文可推断，视为缺失值。
88,act_arr_time,,MV,stage1,True,MV,0.95,,值为空，且无其他上下文可推断，视为缺失值。
88,src,helloflight,DIST,stage2,False,NONE,0.99,,该值'helloflight'出现在正常样本中，不构成异常，前序标记为误报。
89,sched_dep_time,,MV,stage1,True,MV,1.0,,空值，计划起飞时间缺失
89,sched_arr_time,,MV,stage1,True,MV,1.0,,空值，计划到达时间缺失
89,src,helloflight,DIST,stage2,False,NONE,1.0,,正常样例中包含该值，无错误
90,sched_dep_time,,MV,stage1,True,MV,0.95,,该值为空，明显缺失，正常样例均为时间格式
90,sched_arr_time,,MV,stage1,True,MV,0.95,,该值为空，明显缺失，正常样例均为时间格式
90,src,helloflight,DIST,stage2,False,NONE,0.9,,值'helloflight'出现在正常样例中，属于合法来源代码，并非错误
91,act_dep_time,,MV,stage1,True,MV,0.99,,实际出发时间缺失，符合缺失值特征，无法推断正确值。
91,act_arr_time,,MV,stage1,True,MV,0.99,,实际到达时间缺失，符合缺失值特征，无法推断正确值。
91,src,helloflight,DIST,stage2,False,NONE,0.95,,该值'helloflight'出现在同列合法样例中，且无跨列不一致，为正常值，前序为误报。
92,sched_dep_time,,MV,stage1,True,MV,1.0,,计划起飞时间缺失，同行无替代信息。
92,sched_arr_time,,MV,stage1,True,MV,1.0,,计划到达时间缺失，同行无替代信息。
92,src,helloflight,DIST,stage2,False,NONE,0.0,,该值出现在正常样例中，且与同行其他列无冲突，为误报。
93,sched_dep_time,,MV,stage1,True,MV,1.0,,计划出发时间缺失
93,sched_arr_time,,MV,stage1,True,MV,1.0,,计划到达时间缺失
93,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight' 出现在正常样例中，属合法值
94,sched_dep_time,,MV,stage1,True,MV,0.95,,值缺失（NaN），且无可用上下文推断计划出发时间
94,sched_arr_time,,MV,stage1,True,MV,0.95,,值缺失（NaN），且无可用上下文推断计划到达时间
94,src,helloflight,DIST,stage2,False,NONE,0.95,,'helloflight' 出现在正常样例中，属于该列的常见合法值，分布标记为误报
95,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空，且该列应为计划起飞时间，缺失不符合常规
95,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空，且该列应为计划到达时间，缺失不符合常规
95,src,helloflight,DIST,stage2,False,NONE,0.95,,该值出现在正常样例中，为合法来源编码，非错误
96,act_dep_time,,MV,stage1,True,MV,0.95,,实际起飞时间为空，确为缺失
96,sched_arr_time,12/2/11 12:21 a.m.,FI,stage1,True,FI,0.85,12:21 a.m.,格式错误，正常样例仅为时间不带日期
96,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为空，确为缺失
96,src,helloflight,DIST,stage2,False,NONE,0.95,,helloflight 是已知正常来源，非错误
97,sched_dep_time,,MV,stage1,True,MV,1.0,,值为空/NaN，明显缺失，无足够上下文推断修复值
97,sched_arr_time,,MV,stage1,True,MV,1.0,,值为空/NaN，明显缺失，无足够上下文推断修复值
97,src,helloflight,DIST,stage2,False,NONE,0.99,,值 'helloflight' 存在于正常样本列表中，为非异常值，前序误报
98,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间为空，且无替代值可推断，视为缺失。
98,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为空，且无替代值可推断，视为缺失。
98,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight' 出现在正常样例中，属于该列的合法取值，前序标记为误报。
99,sched_dep_time,,MV,stage1,True,MV,0.95,,"Missing value (NaN) in required time column, no basis to infer from context"
99,sched_arr_time,,MV,stage1,True,MV,0.95,,"Missing value (NaN) in required time column, no basis to infer from context"
99,src,helloflight,DIST,stage2,False,NONE,0.9,,Value 'helloflight' appears in normal samples; distribution model false positive
100,sched_dep_time,,MV,stage1,True,MV,0.95,,计划出发时间缺失
100,sched_arr_time,,MV,stage1,True,MV,0.95,,计划到达时间缺失
100,src,helloflight,DIST,stage2,False,NONE,0.9,,该值出现在正常样例中，属于合法值
101,sched_dep_time,,MV,stage1,True,MV,1.0,,值为空串/NaN，同列其他值为时间格式，确实是缺失值。
101,sched_arr_time,,MV,stage1,True,MV,1.0,,值为空串/NaN，同列其他值为时间格式，确实是缺失值。
101,src,helloflight,DIST,stage2,False,NONE,1.0,,值在正常样本中出现，为合法源代码。
102,sched_dep_time,,MV,stage1,True,MV,0.99,,值为NaN，是缺失值
102,sched_arr_time,,MV,stage1,True,MV,0.99,,值为NaN，是缺失值
102,src,helloflight,DIST,stage2,False,NONE,0.95,,'helloflight'在正常样例中出现，不是错误
103,sched_dep_time,,MV,stage1,True,MV,0.95,,值为 NaN，缺失时间信息
103,sched_arr_time,,MV,stage1,True,MV,0.95,,值为 NaN，缺失时间信息
103,src,helloflight,DIST,stage2,False,NONE,0.9,,'helloflight' 出现在正常样例中，非异常值
104,sched_dep_time,,MV,stage1,True,MV,0.5,,LLM 未返回该格判定，沿用前序结果（兜底）。
104,sched_arr_time,,MV,stage1,True,MV,0.5,,LLM 未返回该格判定，沿用前序结果（兜底）。
104,src,helloflight,DIST,stage2,True,OTHER,0.5,,LLM 未返回该格判定，沿用前序结果（兜底）。
105,sched_dep_time,,MV,stage1,True,MV,0.98,,值为空，且无法从其他列推断出计划出发时间。
105,sched_arr_time,,MV,stage1,True,MV,0.98,,值为空，且无法从其他列推断出计划到达时间。
105,src,helloflight,DIST,stage2,False,NONE,0.95,,该值出现在正常样本中，属于合法的来源代码。
106,act_dep_time,,MV,stage1,True,MV,0.95,,值为NaN，明确缺失，且无上下文可推断
106,act_arr_time,,MV,stage1,True,MV,0.95,,值为NaN，明确缺失，且无上下文可推断
106,src,helloflight,DIST,stage2,False,NONE,0.98,,该值出现在正常样例列表中，不是异常
107,sched_dep_time,,MV,stage1,True,MV,0.95,,计划出发时间为空，且该字段在正常样例中均有有效时间值，判定为缺失值错误。
107,sched_arr_time,,MV,stage1,True,MV,0.95,,计划到达时间为空，且该字段在正常样例中均有有效时间值，判定为缺失值错误。
107,src,helloflight,DIST,stage2,False,NONE,0.9,,src值'helloflight'存在于正常样例中，且与整行其他信息无冲突，应为正常值，前序误报。
108,sched_dep_time,,MV,stage1,True,MV,1.0,,计划起飞时间缺失，当前值为空，属于缺失值错误
108,sched_arr_time,,MV,stage1,True,MV,1.0,,计划到达时间缺失，当前值为空，属于缺失值错误
108,src,helloflight,DIST,stage2,False,NONE,1.0,,该值'helloflight'出现在正常样本中，为合法值，前序标记为误报
109,sched_dep_time,,MV,stage1,True,MV,0.95,,计划出发时间缺失，为空值。
109,sched_arr_time,,MV,stage1,True,MV,0.95,,计划到达时间缺失，为空值。
109,src,helloflight,DIST,stage2,False,NONE,0.99,,该值‘helloflight’出现在正常样例中，非错误。
110,sched_dep_time,,MV,stage1,True,MV,1.0,,计划起飞时间为空，符合缺失值定义
110,sched_arr_time,,MV,stage1,True,MV,1.0,,计划到达时间为空，符合缺失值定义
110,src,helloflight,DIST,stage2,False,NONE,0.98,,src值在正常样本中出现，分布标记为异常但实际合法
111,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间缺失，值为空
111,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间缺失，值为空
111,src,helloflight,DIST,stage2,False,NONE,0.95,,值出现在正常样例中，是合法来源代码
112,sched_dep_time,,MV,stage1,True,MV,0.95,,空值，正常样例为时间格式，确为缺失
112,sched_arr_time,,MV,stage1,True,MV,0.95,,空值，确为缺失
112,src,helloflight,DIST,stage2,False,NONE,0.9,,该值出现在正常样例中，合法
113,sched_dep_time,,MV,stage1,True,MV,0.95,,计划起飞时间缺失，无法从上下文中可靠推断。
113,sched_arr_time,,MV,stage1,True,MV,0.95,,计划到达时间缺失。
113,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight'出现在正常样例列表中，是常见的合法值，前序标记为误报。
114,sched_dep_time,,MV,stage1,True,MV,0.95,,值为NaN，计划起飞时间缺失，且无法从上下文推断
114,sched_arr_time,,MV,stage1,True,MV,0.95,,值为NaN，计划到达时间缺失，且无法从上下文推断
114,src,helloflight,DIST,stage2,False,NONE,0.95,,该值'helloflight'在正常样例列表中，为合法来源代码，前序标记为误报
115,sched_dep_time,,MV,stage1,True,MV,0.99,,值为NaN，明显缺失，无其他信息可推断
115,sched_arr_time,,MV,stage1,True,MV,0.99,,值为NaN，明显缺失，无其他信息可推断
115,src,helloflight,DIST,stage2,False,NONE,0.95,,helloflight 出现在正常样本中，为合法取值，前序标记误报
116,sched_dep_time,,MV,stage1,True,MV,0.95,,缺失值，计划出发时间为空
116,sched_arr_time,,MV,stage1,True,MV,0.95,,缺失值，计划到达时间为空
116,src,helloflight,DIST,stage2,False,NONE,0.9,,该值出现在正常样例中，为合法值
117,sched_dep_time,,MV,stage1,True,MV,0.99,,值为空，确实是缺失值
117,sched_arr_time,,MV,stage1,True,MV,0.99,,值为空，确实是缺失值
117,src,helloflight,DIST,stage2,False,NONE,0.99,,'helloflight' 在正常样例中出现，非异常值
118,sched_dep_time,,MV,stage1,True,MV,1.0,,Scheduled departure time is missing (NaN/empty).
118,sched_arr_time,,MV,stage1,True,MV,1.0,,Scheduled arrival time is missing (NaN/empty).
118,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight' is present in normal samples; false alarm.
119,sched_dep_time,,MV,stage1,True,MV,0.95,,单元格为缺失值（NaN），无法推断正确时间
119,sched_arr_time,,MV,stage1,True,MV,0.95,,单元格为缺失值（NaN），无法推断正确时间
119,src,helloflight,DIST,stage2,False,NONE,0.9,,正常样例库中包含该值，无错误
120,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间为空，属于缺失值。
120,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为空，属于缺失值。
120,src,helloflight,DIST,stage2,False,NONE,0.95,,'helloflight'出现在该列的正常样例中，前序标记为分布异常，但实际合法。
121,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空/NaN，缺失计划起飞时间
121,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空/NaN，缺失计划到达时间
121,src,helloflight,DIST,stage2,False,NONE,0.99,,值在正常样例中出现，且与同行其他列无冲突
122,act_dep_time,,MV,stage1,True,MV,1.0,,空值，且为缺失哨兵，实际起飞时间未知。
122,sched_arr_time,12/2/11 5:11 a.m.,FI,stage1,True,FI,0.95,5:11 a.m.,"正常样例均无日期前缀，此行多出""12/2/11 ""，应仅保留时间部分。"
122,act_arr_time,,MV,stage1,True,MV,1.0,,空值，且为缺失哨兵，实际到达时间未知。
122,src,helloflight,DIST,stage2,False,NONE,1.0,,"正常样例中已包含""helloflight""，为常见源，分布标记为误报。"
123,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空，且该列应为时间格式，确认为缺失。
123,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空，且该列应为时间格式，确认为缺失。
123,src,helloflight,DIST,stage2,False,NONE,0.95,,'helloflight' 包含在正常样例中，是合法的来源代码，标记为误报。
124,sched_dep_time,,MV,stage1,True,MV,1.0,,值为NaN，确为缺失
124,sched_arr_time,,MV,stage1,True,MV,1.0,,值为NaN，确为缺失
124,src,helloflight,DIST,stage2,False,NONE,0.95,,该值出现在正常样例中，且跨列无依赖冲突
125,sched_dep_time,,MV,stage1,True,MV,1.0,,值为空，计划起飞时间缺失，无法推断
125,sched_arr_time,,MV,stage1,True,MV,1.0,,值为空，计划到达时间缺失，无法推断
125,src,helloflight,DIST,stage2,False,NONE,1.0,,'helloflight'在正常样例中，是合法源标识，应为误报
126,sched_dep_time,,MV,stage1,True,MV,0.95,,值为空，且实际起飞时间存在，计划时间不应缺失
126,sched_arr_time,,MV,stage1,True,MV,0.95,,值为空，且实际到达时间存在，计划时间不应缺失
126,src,helloflight,DIST,stage2,False,NONE,0.99,,'helloflight' 在正常样本中出现，且与其他列无冲突，前序标记为误报
127,sched_dep_time,,MV,stage1,True,MV,0.99,,计划出发时间为空，但实际出发时间存在，确认为缺失值
127,sched_arr_time,,MV,stage1,True,MV,0.99,,计划到达时间为空，但实际到达时间存在，确认为缺失值
127,src,helloflight,DIST,stage2,False,NONE,0.95,,正常样例中包含该值，符合列合法取值
128,act_dep_time,,MV,stage1,True,MV,1.0,,实际出发时间缺失
128,act_arr_time,,MV,stage1,True,MV,1.0,,实际到达时间缺失
128,src,helloflight,DIST,stage2,False,NONE,1.0,,正常样本包含此值，无错误
129,act_dep_time,,MV,stage1,True,MV,0.95,,值为空，缺失实际起飞时间
129,act_arr_time,,MV,stage1,True,MV,0.95,,值为空，缺失实际到达时间
129,src,helloflight,DIST,stage2,False,NONE,0.9,,'helloflight'在正常样本中，是常见来源代码，非错误
130,sched_dep_time,,MV,stage1,True,MV,1.0,,空值，且无可推断信息
130,sched_arr_time,,MV,stage1,True,MV,1.0,,空值，且无可推断信息
130,src,helloflight,DIST,stage2,False,NONE,0.9,,值'helloflight'在正常样本中出现，非错误
131,sched_dep_time,,MV,stage1,True,MV,1.0,,值为空，确实是缺失
131,sched_arr_time,,MV,stage1,True,MV,1.0,,值为空，确实是缺失
131,src,helloflight,DIST,stage2,False,NONE,1.0,,该值出现在正常样例中，是合法来源
132,sched_dep_time,,MV,stage1,True,MV,1.0,,值为NaN，整行为空，且无同行列可推断，确认为缺失值。
132,sched_arr_time,,MV,stage1,True,MV,1.0,,值为NaN，整行为空，且无同行列可推断，确认为缺失值。
132,src,helloflight,DIST,stage2,False,NONE,1.0,,值'helloflight'出现在正常样例中，分布标记为误报，非错误。
133,sched_dep_time,,MV,stage1,True,MV,0.95,,值为缺失哨兵 NaN，明显缺失。
133,sched_arr_time,,MV,stage1,True,MV,0.95,,值为缺失哨兵 NaN，明显缺失。
133,src,helloflight,DIST,stage2,False,NONE,0.95,,helloflight 出现在该列的正常样例中，是合法来源代码。
